MP,assists,cards_red,cards_yellow,cards_yellow_red,crosses,fouled,fouls,games_starts,goals,goals_pens,interceptions,main_info,minutes,offsides,pens_att,pens_conceded,pens_made,pens_won,tackles_won
1,0.0,0,0,0,,,,1,0,0,,"Nayef Saïd Hachim Position: GK 180cm, 77kg (5-10½, 170lb) Born: September 25, 1988 National Team: Comoros km  Other: France",90,,0,,0,,
12,0.0,0,0,0,0.0,1.0,2.0,4,2,2,0.0,"Ibroihim Youssouf Position: FW 176cm (5-9) Born: May 6, 1994 (Age: 28-106d) in Itsandra, Comoros km National Team: Comoros km Club: TS Sporting FC",401,1.0,0,,0,,0.0
2,0.0,0,0,0,,,,1,0,0,,"Nakim Youssoufa Position: FW (FB) Born: September 14, 1993 (Age: 28-340d) in Marseille, France fr National Team: Comoros km  Other: France Club: FC Rousset Sainte Victoire Omnisports",65,,0,,0,,
3,0.0,0,1,0,,,,3,1,1,,"Ryan Aloali'i Mitchell Position: FW 178cm, 73kg (5-10, 161lb) Born: August 12, 1994 in Waycross, Georgia, United States us National Team: American Samoa as  Other: United States",270,,0,,0,,
3,,0,1,0,,,,3,0,0,,"Li'atama Amisone Li'atama Amisone Jr. Position: DF 178cm, 78kg (5-10, 172lb) Born: February 3, 1989 National Team: American Samoa as",263,,0,,0,,
4,0.0,1,1,0,,,,3,1,1,,"Demetrius Beauchamp Position: FW 191cm, 77kg (6-3, 170lb) Born: November 11, 1991 in San Francisco, California, United States us National Team: American Samoa as  Other: United States",236,,0,,0,,
2,0.0,0,0,0,,,,0,0,0,,"Paul Collins Position: DF 190cm, 116kg (6-2½, 256lb) Born: May 31, 1997 in Tāfuna, American Samoa as National Team: American Samoa as",18,,0,,0,,
4,0.0,0,0,0,,,,4,0,0,,"Pita Falevalu Position: GK 183cm, 111kg (6-0, 245lb) Born: September 18, 1985 in Pago Pago, American Samoa as National Team: American Samoa as",360,,0,,0,,
4,0.0,0,2,0,,,,4,0,0,,"Jordan Grantz Position: MF 173cm, 77kg (5-8, 170lb) Born: December 5, 1992 in Fredericksburg, Virginia, United States us National Team: American Samoa as  Other: United States",257,,0,,0,,
4,0.0,0,0,0,,,,4,0,0,,"Dylan Hardie-Jordan Position: MF 180cm, 73kg (5-10½, 161lb) Born: October 2, 1992 in Kailua-Kona, Hawaii, United States us National Team: American Samoa as  Other: United States",350,,0,,0,,
4,0.0,0,1,0,,,,4,0,0,,"Uasi Heleta Uasila'a Inoke Heleta Position: DF 193cm, 69kg (6-3½, 152lb) Born: February 27, 1987 National Team: American Samoa as",274,,0,,0,,
4,0.0,0,1,0,,,,4,0,0,,"Ne'emia Kaleopa Position: DF 178cm, 82kg (5-10, 181lb) Born: May 9, 1996 in Taputimu, American Samoa as National Team: American Samoa as",360,,0,,0,,
3,0.0,0,0,0,,,,2,0,0,,"Panweichi Kaleopa Position: MF 167cm, 68kg (5-5½, 150lb) Born: June 15, 1994 in Taputimu, American Samoa as National Team: American Samoa as",109,,0,,0,,
2,0.0,0,0,0,,,,0,0,0,,"Sam Kome Position: DF 170cm, 73kg (5-6½, 161lb) Born: May 6, 1996 in American Samoa, Territory of, American Samoa as National Team: American Samoa as",51,,0,,0,,
3,0.0,0,0,0,,,,2,0,0,,"Casper Kuresa Moe Kuresa Position: DF-MF 183cm, 86kg (6-0, 190lb) Born: January 7, 1991 in Pago Pago, American Samoa as National Team: American Samoa as",203,,0,,0,,
3,,0,0,0,,,,3,2,2,,"Shalom Luani Position: FW 183cm, 200kg (6-0, 441lb) Born: August 5, 1994 National Team: American Samoa as",270,,0,,0,,
3,,0,1,0,,,,2,0,0,,"Tala Luvu Position: DF 187cm (6-1½) Born: September 2, 1990 in Tāfuna, American Samoa as National Team: American Samoa as",184,,0,,0,,
7,0.0,0,0,0,,,,7,2,2,,"Justin Manao Position: DF 177cm, 66kg (5-9½, 146lb) Born: March 25, 1993 in Kirkland, Washington, United States us National Team: American Samoa as  Other: United States",630,,0,,0,,
3,0.0,0,0,0,,,,0,1,1,,"Tor-Lawrence Manao Position: DF 173cm, 58kg (5-8, 128lb) Born: May 27, 1999 in Philadelphia, Pennsylvania, United States us National Team: American Samoa as  Other: United States",64,,0,,0,,
6,0.0,0,0,0,,,,6,0,0,,"Rawlston Masaniai Rawlston Ray Masaniai Position: MF 183cm, 78kg (6-0, 172lb) Born: May 13, 1983 in Pago Pago, American Samoa as National Team: American Samoa as",540,,0,,0,,
3,,0,0,0,,,,0,0,0,,"Diamond Ott Position: FW Born: June 27, 1981 National Team: American Samoa as",50,,0,,0,,
7,0.0,0,0,0,,,,7,2,2,,"Ramin Ott Ramin Shahin Ott Position: FW 188cm, 83kg (6-2, 183lb) Born: June 22, 1986 in Pago Pago, American Samoa as National Team: American Samoa as",593,,0,,0,,
1,0.0,0,0,0,,,,0,0,0,,"Rafael Rocha Position: FW 170cm (5-6½) Born: February 12, 1991 in Pago Pago, American Samoa as National Team: American Samoa as",31,,0,,0,,
3,,0,1,0,,,,3,0,0,,"Jaiyah Saelua Position: DF (CB) 183cm, 74kg (6-0, 163lb) Born: July 19, 1988 in Pago Pago, American Samoa as National Team: American Samoa as",270,,0,,0,,
3,,0,0,0,,,,3,0,0,,"Nicky Salapu Nicky Vitolio Salapu Position: GK 183cm, 83kg (6-0, 183lb) Born: September 13, 1980 in Pago Pago, American Samoa as National Team: American Samoa as",270,,0,,0,,
4,0.0,1,3,1,,,,4,0,0,,"Ryan Samuelu Position: DF 186cm, 83kg (6-1, 183lb) Born: February 19, 1991 National Team: American Samoa as",349,,0,,0,,
3,0.0,0,0,0,,,,2,0,0,,"Jason Si'i Position: MF 172cm, 74kg (5-7½, 163lb) Born: December 27, 1983 in California, United States us National Team: American Samoa as  Other: United States",132,,0,,0,,
2,0.0,0,0,0,,,,0,0,0,,"Kaleopa Siligi Position: DF 167cm, 68kg (5-5½, 150lb) Born: March 26, 1996 in Utulei, American Samoa as National Team: American Samoa as",50,,0,,0,,
3,,0,0,0,,,,2,0,0,,"Rambo Tapui Position: FW 179cm, 84kg (5-10, 185lb) Born: (Date unknown) in Pago Pago, American Samoa as National Team: American Samoa as",158,,0,,0,,
3,,0,1,0,,,,3,0,0,,"Daru Taumua Position: DF 180cm, 77kg (5-10½, 170lb) Born: November 1, 1991 in Pago Pago, American Samoa as National Team: American Samoa as",270,,0,,0,,
3,,0,0,0,,,,0,0,0,,"Suani Uelese Position: FW 180cm, 77kg (5-10½, 170lb) Born: May 30, 1991 in Taputimu, American Samoa as National Team: American Samoa as",67,,0,,0,,
3,,0,0,0,,,,2,0,0,,"Charles Uhrle Frederick Charles Uhrle Position: DF 176cm, 73kg (5-9, 161lb) Born: September 25, 1992 National Team: American Samoa as",180,,0,,0,,
1,,0,0,0,,,,1,0,0,,"Mahamoud Ali M'Changama Position: DF 184cm, 78kg (6-0, 172lb) Born: October 1, 1986 National Team: Comoros km",90,,0,,0,,
11,2,0,0,0,0,0,1,5,1,1,0,"Abdallah Ali Mohamed Position: DF 185cm, 78kg (6-½, 172lb) Born: April 11, 1999 (Age: 23-131d) in Moroni, Comoros km National Team: Comoros km Club: FC Stade Lausanne-Ouchy",592,0,0,,0,,0
1,0,0,0,0,,,,0,0,0,,"Sara Begallo Mesuare Begallo Position: MF Born: March 1, 2000 National Team: Comoros km  Other: France",2,,0,,0,,
15,0,0,3,0,0,2,1,13,0,0,0,"Salim Ben Boina Position: GK 176cm, 66kg (5-9, 146lb) Born: July 19, 1991 (Age: 31-032d) in Marseille, France fr National Team: Comoros km  Other: France Club: US Marseille Endoume","1,136",0,0,,0,,1
5,0,0,1,0,,,,1,0,0,,"Faouz Faidine Attoumane Position: MF 163cm (5-4) Born: January 4, 1994 (Age: 28-228d) in Fomboni, Comoros km National Team: Comoros km Club: FC Nouadhibou",134,,0,,0,,
1,,0,1,0,,,,1,0,0,,"Mohamed Hassani Mbalia Position: GK 170cm, 69kg (5-6½, 152lb) Born: August 15, 1984 National Team: Comoros km",90,,0,,0,,
5,0,1,2,1,,,,4,0,0,,"Omar M'Dahoma Position: DF 176cm, 62kg (5-9, 137lb) Born: September 10, 1987 (Age: 34-344d) in Dzaoudzi, Mayotte National Team: Comoros km Club: GS Consolat",370,,0,,0,,
1,0,0,0,0,,,,1,0,0,,"Fouad M'Roudjaé Position: DF (FB) 181cm, 68kg (5-11, 150lb) Born: June 24, 1994 in Marseille, France fr National Team: Comoros km  Other: France",90,,0,,0,,
2,0,0,1,0,,,,0,0,0,,"Ibrahim Madi Position: MF Born: May 19, 1998 (Age: 24-093d) in Marseille, France fr National Team: Comoros km  Other: France Club: GS Consolat",41,,0,,0,,
1,0,0,0,0,,,,1,0,0,,"Omar Mbapandza Position: DF Born: April 9, 1997 (Age: 25-133d) in Marseille, France fr National Team: Comoros km Club: ASC Saint-Apollinaire",90,,0,,0,,
2,0,0,0,0,,,,2,0,0,,"Ibrahim Mchinda Madîhali Position: MF Born: November 16, 1988 National Team: Comoros km  Other: France",180,,0,,0,,
2,,0,0,0,,,,2,0,0,,"Moubarak Mfoihaia Abdallah Mfoihaya Position: FW 176cm, 68kg (5-9, 150lb) Born: July 4, 1985 in Marseille, France fr National Team: Comoros km",178,,0,,0,,
2,,0,0,0,,,,1,0,0,,"Djamal Mohamed Position: MF 177cm, 78kg (5-9½, 172lb) Born: October 8, 1980 in Marseille, France fr National Team: Comoros km  Other: France",112,,0,,0,,
1,,0,0,0,,,,1,0,0,,"Ali Mourade Position: DF 190cm, 87kg (6-2½, 192lb) Born: October 17, 1984 in Marseille, France fr National Team: Comoros km",59,,0,,0,,
1,,0,0,0,,,,1,0,0,,"Mahamoud Mroivili Position: GK 183cm, 78kg (6-0, 172lb) Born: February 6, 1991 in Mitsamiouli, Comoros km National Team: Comoros km",90,,0,,0,,
9,1,0,0,0,,,,6,0,0,,"Ancoub Mze Ali Position: MF ▪  Footed: Right 170cm, 59kg (5-6½, 130lb) Born: February 11, 1996 (Age: 26-190d) in Nice, France fr National Team: Comoros km  Other: France Club: Villefranche Saint-Jean Beaulieu FC",592,,0,,0,,
1,0,0,0,0,,,,0,0,0,,"Yannick Pandor Yannick Pandor Position: GK ▪  Footed: Left 178cm, 73kg (5-10, 161lb) Born: May 1, 2001 (Age: 21-111d) in Marseille, France fr National Team: Comoros km  Other: France Club: Lens",45,,0,,0,,
1,0,0,0,0,,,,0,0,0,,"Yacine Saandi Position: FW-MF 178cm, 73kg (5-10, 161lb) Born: April 2, 1987 in Marseille, France fr National Team: Comoros km  Other: France",18,,0,,0,,
1,0,0,0,0,,,,1,0,0,,"Nayef Saïd Hachim Position: GK 180cm, 77kg (5-10½, 170lb) Born: September 25, 1988 National Team: Comoros km  Other: France",90,,0,,0,,
12,0,0,0,0,0,1,2,4,2,2,0,"Ibroihim Youssouf Position: FW 176cm (5-9) Born: May 6, 1994 (Age: 28-106d) in Itsandra, Comoros km National Team: Comoros km Club: TS Sporting FC",401,1,0,,0,,0
2,0,0,0,0,,,,1,0,0,,"Nakim Youssoufa Position: FW (FB) Born: September 14, 1993 (Age: 28-340d) in Marseille, France fr National Team: Comoros km  Other: France Club: FC Rousset Sainte Victoire Omnisports",65,,0,,0,,
